Symbol,Price,PEG,Forward_PE,Growth
AAMI,55.529998779296875,,12.601352,0.171
AAP,49.17110061645508,,18.420351,-0.052
AAT,17.950000762939453,,24.930555,-0.108
ABCB,79.875,,12.756671,0.05
ABG,242.52000427246094,,8.69023,0.133
ABM,45.09000015258789,,10.360872,0.054
ABR,7.800000190734863,,9.307877,-0.3
ACA,113.20999908447266,,23.584581,0.246
ACAD,25.950000762939453,,31.836193,0.113
ACHC,13.194999694824219,,7.576671,0.044
ACIW,44.27000045776367,,13.1131525,0.068
ACLS,90.57499694824219,,20.165104,-0.167
ACMR,55.505001068115234,,25.876457,0.32
ACT,39.77000045776367,,8.539374,0.006
ADAM,8.489999771118164,,8.518452,0.142
ADEA,18.604999542236328,,13.164691,0.014
ADMA,16.309999465942383,,17.351063,0.12
ADNT,21.8700008392334,,7.191879,0.035
ADUS,104.5199966430664,,15.229269,0.25
AEIS,260.7900085449219,,33.315876,0.238
